"STTN_ID","STTN_NM","STTN_NM_ENG"
293064108,도램마을20단지, 
293064121,으뜸초등학교, 
293064203,"고운뜰공원,대법원등기정보센터", 
293064233,"가락마을20,21단지", 
293064234,"가락마을20,21단지", 
293064171,예양2리, 
293064175,평기리, 
293016054,고복리, 
293018012,송성3리(솔티), 
293019074,신방2리마을회관, 
293016091,쌍전리(우리요양원), 
293012010,저산리, 
293062018,문화체육관광부, 
293014016,해밀동, 
293014033,실광주유소, 
293056003,도담동, 
293062002,어진중학교(가재마을9단지), 
293062012,정부세종청사북측, 
293013009,소정리입구, 
293011009,원봉1리마을회관, 
293012058,행산리입구, 
293053001,다정동(대성고등학교), 
293064075,달전리, 
293064141,고운동커뮤니티센터북측, 
293064148,범지기마을1단지, 
293064102,범지기마을10단지북측, 
293019075,신방2리마을회관, 
293019050,서정1리마을회관, 
293064393,보건복지부 고용노동부, 
293064100,"범지기3,9단지(청소년센터)", 
293064354,가락마을6단지, 
293064035,효성세종병원, 
293064251,대평동, 
293064493,다솜동, 
293064446,세종충남대학교병원, 
293014017,해밀동, 
293064064,국립세종도서관, 
293064096,"두루초,중학교", 
293064154,가톨릭꽃동네대학교, 
293064033,신흥사거리, 
293064186,신대1리마을회관, 
293064187,쌍전리(창현), 
293064200,생천경로당, 
293064058,도램마을1단지, 
293064070,가락마을8단지, 
293010007,봉안리, 
293064281,송용1리마을회관, 
293064314,새롬고등학교(새뜸마을7단지), 
293064334,용암2리입구, 
293064371,새뜸마을10단지, 
293064341,(주)레이크엘이디앞, 
293064326,청라리, 
293064352,가락마을6단지, 
293064415,연동면 복합커뮤니티센터, 
293900010,세종소방서, 
293064475,가락마을8단지.가재마을4단지, 
293064455,국립세종수목원, 
186004384,한진오피스텔, 
186004073,대광로제비앙아파트, 
186004300,유성온천역6번출구, 
186004454,외삼1통, 
186004702,KT유성지사, 
285013001,모드니에아파트, 
285016004,백자3리, 
285016016,수신면사무소, 
286055004,공주정보고(장군면 방면), 
274002083,상봉2리(가마소), 
285016023,장산4리(상리), 
186004272,봉명동우체국, 
286066012,주공1차아파트(터미널방면), 
186004287,온천교, 
274000055,서평교, 
286071105,흥화하브아파트, 
286053002,"산성시장(옥룡동,공주고방면)", 
286071108,신관동행정복지센터(신관초방면), 
286065008,송선2통(장군면 방면), 
293064375,"가온마을2,3단지", 
186004061,구룡, 
186004407,구즉초등학교, 
186004391,신동1통, 
293015025,예양리, 
293018009,송성1리, 
293064407,동산산업, 
186004053,롯데마트대덕점, 
185003229,둔산경찰서, 
185003236,둔산2동주민센터, 
185003249,시청환승지, 
286066009,종합버스터미널(옥룡동방면), 
186004453,국방과학연구소입구, 
186004301,유성온천역7번출구, 
285016027,해정리, 
286055003,공주교도소, 
286055009,신관초사거리(신관주공방면), 
286056001,동현리(장군면 방면), 
186004210,둔곡3교, 
186004208,둔곡동, 
186004132,금고동, 
293056010,"도램마을16,19단지", 
293064019,조치원전통시장북측, 
293011030,용포리, 
293064078,국책연구단지북측, 
293019094,대추리, 
